area_sqft,bedrooms,bathrooms,age_of_house,distance_from_city_km,garage,garden,floors,price
1360.0,1,3,27.0,38.2,0,1,3,500000
4272.0,1,2,14.0,25.5,0,1,3,500000
3592.0,3,2,29.0,27.6,0,1,2,554000
966.0,5,2,36.0,47.6,0,1,2,500000
4926.0,4,1,28.0,,0,1,3,717000
3944.0,1,2,21.0,45.8,0,1,1,500000
3671.0,4,2,3.0,40.9,1,1,1,630000
3419.0,1,2,19.0,6.3,1,1,3,643000
630.0,1,3,31.0,8.3,1,1,2,547000
2185.0,1,3,35.0,26.8,1,0,3,500000
1269.0,5,1,49.0,13.1,1,0,3,713000
2891.0,2,1,3.0,24.4,0,1,2,560000
2933.0,4,3,26.0,20.3,0,0,3,701000
1684.0,5,3,16.0,27.9,1,0,3,1107000
3885.0,5,3,11.0,37.6,0,0,3,841000
4617.0,5,2,21.0,36.1,1,0,2,896000
3404.0,5,2,16.0,26.5,1,0,1,982000
974.0,5,3,9.0,41.3,1,1,1,761000
1582.0,3,2,0.0,22.1,1,0,2,822000
3058.0,4,2,21.0,44.9,1,1,1,625000
2547.0,5,1,25.0,4.5,0,1,3,975000
3247.0,4,3,17.0,47.8,0,1,1,712000
1475.0,3,3,49.0,33.1,1,0,3,500000
,3,2,13.0,19.6,1,1,1,797000
689.0,4,3,46.0,10.7,0,1,2,827000
3234.0,1,1,28.0,24.5,1,1,1,500000
3505.0,2,1,11.0,10.5,1,1,1,728000
2399.0,1,1,35.0,9.2,1,1,1,500000
1767.0,1,3,34.0,31.3,1,0,2,500000
2028.0,1,3,11.0,,1,1,1,500000
3702.0,5,3,6.0,33.8,1,1,2,1192000
4056.0,3,3,28.0,46.6,1,1,3,729000
4390.0,1,3,10.0,27.1,0,1,1,587000
1146.0,3,1,32.0,29.5,1,0,2,500000
3388.0,4,2,5.0,5.4,0,1,2,971000
2935.0,2,1,46.0,36.2,1,0,1,500000
1100.0,4,3,14.0,,1,0,3,940000
2863.0,4,1,31.0,48.9,1,0,2,500000
2561.0,5,3,10.0,41.3,1,0,1,1009000
741.0,2,3,22.0,26.6,0,1,3,500000
2541.0,4,1,25.0,7.0,0,0,2,868000
3324.0,4,3,33.0,43.1,1,0,2,722000
3112.0,2,2,45.0,40.2,1,1,3,500000
1863.0,2,3,33.0,10.0,0,1,3,618000
1978.0,4,2,28.0,15.5,1,1,1,909000
3056.0,2,2,3.0,39.9,1,1,1,500000
1275.0,4,3,16.0,10.1,1,1,2,855000
4514.0,4,1,34.0,46.0,0,0,3,500000
534.0,5,2,12.0,21.8,1,0,3,1023000
3652.0,1,1,40.0,5.3,1,1,3,500000
2455.0,4,2,38.0,41.0,1,0,2,540000
2085.0,3,3,14.0,19.3,1,1,3,964000
4443.0,1,3,28.0,26.8,1,0,3,535000
3573.0,1,2,,6.5,0,0,2,500000
1521.0,1,3,10.0,1.1,1,1,1,587000
3961.0,5,2,31.0,32.3,1,1,1,854000
3113.0,4,3,1.0,26.2,0,1,2,769000
4343.0,5,1,46.0,30.1,1,1,3,834000
2000.0,4,3,13.0,39.9,0,0,2,701000
661.0,5,1,19.0,32.7,0,0,1,527000
4797.0,5,3,21.0,9.6,1,1,1,1280000
