student_id,gender,age,study_hours_per_day,attendance_percent,parental_education,internet_access,extra_curricular,sleep_hours,prev_year_score,school_type,tutoring,math_score,reading_score,writing_score,final_score
1,Male,16,1.8,96.0,High School,No,Yes,6.0,,Public,No,14.1,22.0,23.3,19.8
2,Female,17,6.6,88.2,High School,Yes,No,5.5,61.8,Private,Yes,46.3,47.2,42.3,45.3
3,Female,15,5.1,73.8,High School,No,Yes,6.3,55.6,Public,No,40.9,38.5,39.6,39.7
4,Female,15,3.8,73.8,High School,No,Yes,7.0,60.7,Public,Yes,16.1,24.4,26.7,22.4
5,Male,15,5.6,74.1,Post Graduate,Yes,Yes,7.4,86.3,Private,No,43.7,40.8,50.6,45.0
6,Male,15,8.6,100.0,Graduate,No,No,6.2,27.7,Public,No,57.4,51.1,54.8,54.4
7,Male,18,4.8,82.6,Graduate,No,Yes,6.4,84.2,Private,No,28.0,27.2,23.7,26.3
8,Female,15,4.9,83.2,High School,Yes,Yes,5.9,70.1,Public,No,57.6,55.2,49.8,54.2
9,Female,18,3.7,90.4,Post Graduate,Yes,No,,46.9,Public,No,41.4,36.3,35.4,37.7
10,Female,18,3.0,,Graduate,Yes,No,6.0,48.9,Private,No,47.8,42.4,46.7,45.6
11,Male,15,6.0,74.9,No Education,Yes,Yes,7.4,90.1,Public,No,37.4,52.0,49.6,46.3
12,Female,15,3.0,75.6,Graduate,Yes,Yes,5.0,50.8,Private,No,25.2,30.6,26.8,27.5
13,Female,16,4.6,77.1,Graduate,Yes,Yes,6.4,47.7,Public,Yes,43.3,51.5,48.8,47.9
14,Male,17,3.6,77.6,No Education,Yes,Yes,7.1,82.1,Private,No,31.5,40.4,38.4,36.8
15,Male,15,5.4,86.7,Graduate,Yes,Yes,7.0,70.1,Public,No,49.3,51.1,45.1,48.5
16,Male,16,5.1,78.6,Graduate,Yes,Yes,9.5,50.9,Public,No,63.8,51.2,51.8,55.6
17,Male,16,,86.8,High School,No,Yes,7.1,68.2,Private,No,48.6,48.1,48.4,48.4
18,Female,17,3.6,,Post Graduate,No,Yes,5.8,49.6,Private,No,45.3,33.8,37.6,38.9
19,Male,18,4.0,78.9,Post Graduate,Yes,No,6.7,81.5,Private,Yes,42.5,48.8,44.1,45.1
20,Male,15,2.7,54.0,Graduate,No,No,5.0,80.9,Private,No,16.4,28.2,20.8,21.8
21,Female,17,3.7,89.0,Graduate,Yes,No,6.7,73.0,Private,Yes,27.9,36.8,41.0,35.2
22,Male,15,5.2,82.2,Graduate,Yes,Yes,6.0,70.4,Public,No,42.0,46.5,46.9,45.1
23,Male,16,5.9,90.0,Graduate,Yes,Yes,7.7,91.4,Public,Yes,49.5,55.4,56.8,53.9
24,Male,16,2.8,43.2,Graduate,Yes,No,6.3,65.0,Public,Yes,28.5,23.5,17.5,23.2
25,Male,18,6.1,100.0,No Education,No,Yes,6.7,47.3,Public,No,41.8,48.9,43.7,44.8
26,Female,16,6.9,76.3,Graduate,Yes,Yes,6.2,71.7,Public,No,49.7,46.4,55.3,50.5
27,Male,16,5.2,91.3,Post Graduate,Yes,No,8.5,96.3,Public,Yes,56.5,55.6,48.4,53.5
28,Female,17,7.9,65.5,Graduate,Yes,No,6.5,49.8,Public,No,56.6,63.1,63.6,61.1
29,Female,15,3.1,85.4,No Education,Yes,No,8.6,59.6,Private,Yes,32.8,39.1,38.6,36.8
30,Male,15,2.3,65.4,Graduate,Yes,Yes,7.6,71.2,Public,Yes,40.5,44.0,38.3,40.9
31,Female,17,1.3,70.5,High School,Yes,Yes,7.3,64.2,Public,No,25.1,21.2,18.6,21.6
32,Male,18,7.2,100.0,High School,Yes,No,7.2,50.3,Public,No,62.4,61.5,61.8,61.9
33,Male,15,5.7,75.7,High School,No,Yes,7.2,81.8,Private,Yes,51.9,51.8,47.1,50.3
34,Female,16,4.4,80.6,High School,No,No,4.9,99.8,Private,Yes,43.8,49.3,45.8,46.3
